"A","B","C","D"
-0.560475646552213,0.973952833560819,,
-0.23017748948328,,-0.166811957051551,
1.55870831414912,0.382154942273895,,
,,,-1.74721455901696
,,,1.12573750314925
,,,
,,1.38048153537304,1.5591120252183
-1.26506123460653,0.0614382774141666,,
,-2.69212011919349,-1.60064332725513,
,0.0419949525424528,-0.298369177065937,0.0056964831115956
1.22408179743946,1.6875868765277,,-0.920634483328828
,1.36659364491378,-0.0303255731712796,0.378919098774376
,,,
,,,
-0.555841134754075,-0.519671669723933,,-0.416498565582549
1.78691313680308,,0.77354244519438,
,0.372708800784361,-0.0282083227394901,
-1.96661715662964,,0.356261089792291,0.150611628808897
0.701355901563686,,,-2.33599086609478
,-2.44160606148533,-0.704537495814,
-1.06782370598685,,-0.220218526282562,
-0.217974914658295,0.386633507839071,,3.25777303971897
-1.02600444830724,0.280013580710546,1.7304749495467,1.68560976316274
-0.72889122929114,-2.05991078160365,,
-0.625039267849257,1.24864839828278,1.06492992191758,1.02809477843767
,-4.11266068258571,,0.537084987246079
0.837787044494525,,-0.377441251601803,
0.153373117836515,,,
-1.13813693701195,-1.75048461699438,-1.41729253214115,
,,-0.007316741874337,2.36144678598723
,,0.232891077088258,
,-0.0579480416225799,,
,,-1.47018010762783,-2.75278123440556
0.878133487533042,4.22888487130241,,3.29914777833832
0.821581081637487,0.000215666698315409,-0.476539832807626,
,,,0.780826659802513
0.553917653537589,,,
,1.33109392418442,1.54942502255037,1.43847220053657
,,-0.375973966375061,-1.64903394970851
,-0.413146598340304,,0.525996128165996
,-0.633281117383689,0.749278152617118,0.692079053057146
,,,
,,,
,,,
1.20796199830499,,1.32270844365787,-0.520208426161942
,-0.250786742018293,0.218300623553162,2.56790245099072
-0.402884835299076,-1.53219872628753,-1.25758472345198,-2.25349350405576
,,,-0.124854833486255
0.779965118336318,0.263884502886626,-0.747180398477577,
-0.0833690664718293,,-0.164060635541832,
,2.1529049472814,,0.353202120273044
,,,
,-1.76366704273364,,0.265948068606279
1.36860228401446,,0.293044763909537,-2.31454914106522
-0.225770985659268,,,
,,0.262238902740364,0.437016047395129
,-0.0794266866010087,-0.30232937696492,
0.584613749636069,,,
,,,-0.128385796835332
,,,
,-0.14106608863997,-0.617061868702469,-1.49851517729421
,-0.642781776185258,,
-0.33320738366942,1.39456812473604,1.47436414465498,2.79511241186259
-1.01857538310709,,,-0.288454852484666
,-1.89002838700724,,
,,,
,1.61376863520017,,
,,,
0.922267467879738,,,0.691184402731292
,2.98417455881827,,-1.76395568282215
-0.491031166056535,-0.589874002800217,,-1.04032479335499
,-1.19658789072903,,
,,,
-0.709200762582393,,-0.476858939111105,
-0.688008616467358,0.523874180427754,,-1.36399317357125
1.0255713696967,,0.955973461204215,
-0.284773007051009,,2.1120634155689,4.40397933821542
-1.22071771225454,,-1.34707687784406,-1.27512812763128
,-0.30534230714711,,0.507856286913051
,-0.74911564614399,-1.0367041683259,
0.00576418589988693,-1.26187345291055,,
,,0.183318133516458,-0.76930512871351
-0.370660031792409,1.28245300352568,0.147991982788714,1.60042988747951
0.644376548518833,,-0.373175236860531,
-0.220486561818751,-0.289497869538492,,-0.0861951355008254
0.331781963915697,-0.125049207083176,,
1.09683901314935,,,-3.49387866860892
,2.44353653319783,1.30794616991915,2.51537287820618
-0.325931585531227,,,
1.14880761845109,,0.853662181475636,1.55203708713261
0.993503855962119,,,
0.54839695950807,-1.55467618032965,,
0.238731735111441,,-0.286406965481345,0.0278428091622264
-0.627906076039371,-0.404947361048816,-0.560180821548426,-0.0959110529536727
